epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.00016686784775895715,0,,,,
0,,196,,,0.9483333230018616,0.6608477234840393
0,,196,0.8768650889396667,0.8907367587089539,,
,0.00016686784775895715,197,,,,
1,,393,,,0.9630952477455139,0.6219232678413391
1,,393,0.9555952548980713,0.6619976162910461,,
,0.00016686784775895715,394,,,,
2,,590,,,0.9708333611488342,0.604424238204956
2,,590,0.969682514667511,0.6221805810928345,,
,0.00016686784775895715,591,,,,
3,,787,,,0.9730952382087708,0.5953702330589294
3,,787,0.977658748626709,0.6008697748184204,,
,0.00016686784775895715,788,,,,
4,,984,,,0.9717857241630554,0.5934394598007202
4,,984,0.9834523797035217,0.585279107093811,,
,0.00016686784775895715,985,,,,
5,,1181,,,0.9747619032859802,0.5896742939949036
5,,1181,0.9863095283508301,0.5759141445159912,,
,0.00016686784775895715,1182,,,,
6,,1378,,,0.9742857217788696,0.5858584046363831
6,,1378,0.9902380704879761,0.5662426948547363,,
,0.00016686784775895715,1379,,,,
7,,1575,,,0.9744047522544861,0.5844020843505859
7,,1575,0.9913492202758789,0.5605591535568237,,
,0.00016686784775895715,1576,,,,
8,,1772,,,0.9751190543174744,0.5825599431991577
8,,1772,0.993571400642395,0.5558738112449646,,
,0.00016686784775895715,1773,,,,
9,,1969,,,0.9757142663002014,0.5809963941574097
9,,1969,0.9950793385505676,0.551684558391571,,
,0.00016686784775895715,1970,,,,
10,,2166,,,0.9759523868560791,0.5790573954582214
10,,2166,0.9955158829689026,0.54754239320755,,
,0.00016686784775895715,2167,,,,
11,,2363,,,0.9770237803459167,0.5773833990097046
11,,2363,0.9951984286308289,0.546065092086792,,
,0.00016686784775895715,2364,,,,
12,,2560,,,0.9785714149475098,0.5772268176078796
12,,2560,0.9965872764587402,0.5423100590705872,,
,0.00016686784775895715,2561,,,,
13,,2757,,,0.9789285659790039,0.5757495164871216
13,,2757,0.9972222447395325,0.5397835373878479,,
,0.00016686784775895715,2758,,,,
14,,2954,,,0.9775000214576721,0.5717366337776184
14,,2954,0.9978174567222595,0.5366232395172119,,
,0.00016686784775895715,2955,,,,
15,,3151,,,0.9782142639160156,0.5719469785690308
15,,3151,0.9976587295532227,0.5362304449081421,,
,0.00016686784775895715,3152,,,,
16,,3348,,,0.9783333539962769,0.5729115009307861
16,,3348,0.9978174567222595,0.5344988703727722,,
,0.00016686784775895715,3349,,,,
17,,3545,,,0.9788095355033875,0.5717824697494507
17,,3545,0.9983333349227905,0.5329093933105469,,
,0.00016686784775895715,3546,,,,
18,,3742,,,0.9790475964546204,0.5696717500686646
18,,3742,0.9982539415359497,0.5313296318054199,,
,0.00016686784775895715,3743,,,,
19,,3939,,,0.9779762029647827,0.573564887046814
19,,3939,0.9988889098167419,0.5299305319786072,,
,0.00016686784775895715,3940,,,,
20,,4136,,,0.9794047474861145,0.5683759450912476
20,,4136,0.998968243598938,0.5292154550552368,,
,0.00016686784775895715,4137,,,,
21,,4333,,,0.9800000190734863,0.5660625696182251
21,,4333,0.9994444251060486,0.5274826884269714,,
,0.00016686784775895715,4334,,,,
22,,4530,,,0.978690505027771,0.5655742287635803
22,,4530,0.9988889098167419,0.5273972153663635,,
,0.00016686784775895715,4531,,,,
23,,4727,,,0.979285717010498,0.5665242075920105
23,,4727,0.9994444251060486,0.5258435606956482,,
,0.00016686784775895715,4728,,,,
24,,4924,,,0.9788095355033875,0.5671474933624268
24,,4924,0.9992856979370117,0.5250333547592163,,
,0.00016686784775895715,4925,,,,
25,,5121,,,0.9785714149475098,0.5671172738075256
25,,5121,0.9995238184928894,0.524346649646759,,
,0.00016686784775895715,5122,,,,
26,,5318,,,0.9807142615318298,0.5650308728218079
26,,5318,0.9996825456619263,0.5232818722724915,,
,0.00016686784775895715,5319,,,,
27,,5515,,,0.9789285659790039,0.5642639398574829
27,,5515,0.9996031522750854,0.5226021409034729,,
,0.00016686784775895715,5516,,,,
28,,5712,,,0.9791666865348816,0.5642030239105225
28,,5712,0.9995635151863098,0.5222383141517639,,
,0.00016686784775895715,5713,,,,
29,,5909,,,0.9782142639160156,0.5651302337646484
29,,5909,0.9996428489685059,0.5219395756721497,,
,0.00016686784775895715,5910,,,,
30,,6106,,,0.9791666865348816,0.5631209015846252
30,,6106,0.9996825456619263,0.5214805006980896,,
,0.00016686784775895715,6107,,,,
31,,6303,,,0.9795238375663757,0.5628893971443176
31,,6303,0.9997618794441223,0.5204500555992126,,
