epoch,lr-Adam,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,98,,,0.942380964756012,0.19150947034358978
0,,98,0.8274999856948853,0.5929786562919617,,
,0.001,99,,,,
1,,197,,,0.967380940914154,0.108609139919281
1,,197,0.9592063426971436,0.13741622865200043,,
,0.001,198,,,,
2,,296,,,0.973809540271759,0.08790650963783264
2,,296,0.9739682674407959,0.0846128985285759,,
,0.001,297,,,,
3,,395,,,0.976190447807312,0.0759076401591301
3,,395,0.9802777767181396,0.06485133618116379,,
,0.001,396,,,,
4,,494,,,0.9805952310562134,0.06310658901929855
4,,494,0.9840475916862488,0.05030407756567001,,
,0.001,495,,,,
5,,593,,,0.9828571677207947,0.057701464742422104
5,,593,0.9874206185340881,0.03996512293815613,,
,0.001,594,,,,
6,,692,,,0.9828571677207947,0.05826576054096222
6,,692,0.9893254041671753,0.03415820002555847,,
,0.001,693,,,,
7,,791,,,0.9835714101791382,0.05243562534451485
7,,791,0.9905158877372742,0.029970180243253708,,
,0.001,792,,,,
8,,890,,,0.9855952262878418,0.0554615780711174
8,,890,0.9922618865966797,0.024414602667093277,,
,0.001,891,,,,
9,,989,,,0.9805952310562134,0.06688056141138077
9,,989,0.993571400642395,0.021129341796040535,,
,0.001,990,,,,
10,,1088,,,0.9842857122421265,0.050163909792900085
10,,1088,0.9936507940292358,0.019520295783877373,,
,0.001,1089,,,,
11,,1187,,,0.9853571653366089,0.04955112561583519
11,,1187,0.9953968524932861,0.015836108475923538,,
,0.001,1188,,,,
12,,1286,,,0.9854761958122253,0.05182768777012825
12,,1286,0.9963889122009277,0.01213962770998478,,
,0.001,1287,,,,
13,,1385,,,0.9814285635948181,0.07071545720100403
13,,1385,0.9971825480461121,0.009606567211449146,,
