epoch,lr-Adam,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,98,,,0.9365476369857788,0.20625245571136475
0,,98,0.8205952644348145,0.6224610805511475,,
,0.001,99,,,,
1,,197,,,0.9677380919456482,0.10589239746332169
1,,197,0.9567460417747498,0.14429081976413727,,
,0.001,198,,,,
2,,296,,,0.9730952382087708,0.08299371600151062
2,,296,0.9740079641342163,0.08473215997219086,,
,0.001,297,,,,
3,,395,,,0.9766666889190674,0.07586204260587692
3,,395,0.9804762005805969,0.06424521654844284,,
,0.001,396,,,,
4,,494,,,0.9776190519332886,0.06846905499696732
4,,494,0.983650803565979,0.05330991372466087,,
,0.001,495,,,,
5,,593,,,0.9808333516120911,0.063077911734581
5,,593,0.9857539534568787,0.04446178302168846,,
,0.001,594,,,,
6,,692,,,0.9770237803459167,0.07813427597284317
6,,692,0.9879761934280396,0.03749851509928703,,
,0.001,693,,,,
7,,791,,,0.9846428632736206,0.053902242332696915
7,,791,0.99015873670578,0.03230287507176399,,
,0.001,792,,,,
8,,890,,,0.9828571677207947,0.0564759261906147
8,,890,0.9915476441383362,0.028390854597091675,,
,0.001,891,,,,
9,,989,,,0.9814285635948181,0.059867095202207565
9,,989,0.9933333396911621,0.023167084902524948,,
,0.001,990,,,,
10,,1088,,,0.9835714101791382,0.050123561173677444
10,,1088,0.9934523701667786,0.02143736369907856,,
,0.001,1089,,,,
11,,1187,,,0.983214259147644,0.0612223744392395
11,,1187,0.9944047331809998,0.018095456063747406,,
,0.001,1188,,,,
12,,1286,,,0.9833333492279053,0.06159152835607529
12,,1286,0.9953174591064453,0.015215931460261345,,
,0.001,1287,,,,
13,,1385,,,0.9844047427177429,0.05251934379339218
13,,1385,0.9961110949516296,0.012683088891208172,,
,0.001,1386,,,,
14,,1484,,,0.9863095283508301,0.05252513289451599
14,,1484,0.9962698221206665,0.011704683303833008,,
,0.001,1485,,,,
15,,1583,,,0.9828571677207947,0.05832059308886528
15,,1583,0.9965476393699646,0.01178843341767788,,
,0.001,1584,,,,
16,,1682,,,0.9833333492279053,0.06793336570262909
16,,1682,0.9980555772781372,0.007945436052978039,,
,0.001,1683,,,,
17,,1781,,,0.9861904978752136,0.052488937973976135
17,,1781,0.9971825480461121,0.008674168959259987,,
,0.001,1782,,,,
18,,1880,,,0.9863095283508301,0.0587218776345253
18,,1880,0.9987698197364807,0.005447457544505596,,
,0.001,1881,,,,
19,,1979,,,0.9834523797035217,0.06218739226460457
19,,1979,0.9986507892608643,0.005322619341313839,,
,0.001,1980,,,,
20,,2078,,,0.9854761958122253,0.05458047240972519
20,,2078,0.9988492131233215,0.004792801570147276,,
