epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.04486099966515511,0,,,,
0,,49,,,0.9448809623718262,0.6718904972076416
0,,49,0.868492066860199,0.866391658782959,,
,0.04486099966515511,50,,,,
1,,99,,,0.9591666460037231,0.627690851688385
1,,99,0.9532936215400696,0.653023362159729,,
,0.04486099966515511,100,,,,
2,,149,,,0.9648809432983398,0.5998296737670898
2,,149,0.9694444537162781,0.6053591370582581,,
,0.04486099966515511,150,,,,
3,,199,,,0.9689285755157471,0.5881468057632446
3,,199,0.9803174734115601,0.5749051570892334,,
,0.04486099966515511,200,,,,
4,,249,,,0.9698809385299683,0.5878151655197144
4,,249,0.9845238327980042,0.561755895614624,,
,0.04486099966515511,250,,,,
5,,299,,,0.9729762077331543,0.579971432685852
5,,299,0.9890079498291016,0.5517237186431885,,
,0.04486099966515511,300,,,,
6,,349,,,0.9735714197158813,0.5743892192840576
6,,349,0.9888888597488403,0.5492401123046875,,
,0.04486099966515511,350,,,,
7,,399,,,0.973809540271759,0.57284015417099
7,,399,0.9940476417541504,0.5350080728530884,,
,0.04486099966515511,400,,,,
8,,449,,,0.9750000238418579,0.5691391229629517
8,,449,0.9942460060119629,0.5320414900779724,,
,0.04486099966515511,450,,,,
9,,499,,,0.973809540271759,0.5745437741279602
9,,499,0.9965079426765442,0.5253099203109741,,
,0.04486099966515511,500,,,,
10,,549,,,0.9739285707473755,0.5712794065475464
10,,549,0.995555579662323,0.5273695588111877,,
,0.04486099966515511,550,,,,
11,,599,,,0.9729762077331543,0.5685535073280334
11,,599,0.9967460036277771,0.5243229866027832,,
,0.04486099966515511,600,,,,
12,,649,,,0.9751190543174744,0.5656543374061584
12,,649,0.9973412752151489,0.5216339826583862,,
,0.04486099966515511,650,,,,
13,,699,,,0.9759523868560791,0.5666722059249878
13,,699,0.9972222447395325,0.5218207240104675,,
,0.04486099966515511,700,,,,
14,,749,,,0.9729762077331543,0.5740062594413757
14,,749,0.9971825480461121,0.520630955696106,,
,0.04486099966515511,750,,,,
15,,799,,,0.9710714221000671,0.5791003704071045
15,,799,0.9970635175704956,0.5217339396476746,,
,0.04486099966515511,800,,,,
16,,849,,,0.9727380871772766,0.573074996471405
16,,849,0.9971428513526917,0.520778238773346,,
,0.04486099966515511,850,,,,
17,,899,,,0.9760714173316956,0.5640924572944641
17,,899,0.9983333349227905,0.5177647471427917,,
,0.04486099966515511,900,,,,
18,,949,,,0.975595235824585,0.5668380856513977
18,,949,0.9980158805847168,0.517411470413208,,
,0.04486099966515511,950,,,,
19,,999,,,0.9751190543174744,0.5664889216423035
19,,999,0.9978174567222595,0.5171397924423218,,
,0.04486099966515511,1000,,,,
20,,1049,,,0.9744047522544861,0.5677617192268372
20,,1049,0.9983730316162109,0.5148442387580872,,
,0.04486099966515511,1050,,,,
21,,1099,,,0.9760714173316956,0.5619181990623474
21,,1099,0.9986507892608643,0.513393759727478,,
,0.04486099966515511,1100,,,,
22,,1149,,,0.9748809337615967,0.5689446926116943
22,,1149,0.9980158805847168,0.5163094997406006,,
,0.04486099966515511,1150,,,,
23,,1199,,,0.9751190543174744,0.5670250058174133
23,,1199,0.9985317587852478,0.514171838760376,,
,0.04486099966515511,1200,,,,
24,,1249,,,0.9740476012229919,0.5706220269203186
24,,1249,0.9977777600288391,0.5179923176765442,,
,0.04486099966515511,1250,,,,
25,,1299,,,0.9752380847930908,0.5683067440986633
25,,1299,0.9969047904014587,0.5202767252922058,,
,0.04486099966515511,1300,,,,
26,,1349,,,0.9742857217788696,0.5698543190956116
26,,1349,0.997936487197876,0.5155838131904602,,
