epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.04486099966515511,0,,,,
0,,49,,,0.9441666603088379,0.6648072600364685
0,,49,0.866190493106842,0.8714680075645447,,
,0.04486099966515511,50,,,,
1,,99,,,0.9589285850524902,0.6187844276428223
1,,99,0.9536507725715637,0.6504735350608826,,
,0.04486099966515511,100,,,,
2,,149,,,0.9665476083755493,0.5934115052223206
2,,149,0.9694444537162781,0.6048195958137512,,
,0.04486099966515511,150,,,,
3,,199,,,0.9696428775787354,0.5906640887260437
3,,199,0.9802777767181396,0.5776042342185974,,
,0.04486099966515511,200,,,,
4,,249,,,0.9678571224212646,0.586239755153656
4,,249,0.9862698316574097,0.5606884956359863,,
,0.04486099966515511,250,,,,
5,,299,,,0.9734523892402649,0.5753219127655029
5,,299,0.9892857074737549,0.5511854887008667,,
,0.04486099966515511,300,,,,
6,,349,,,0.9729762077331543,0.5792970061302185
6,,349,0.9916666746139526,0.5437009334564209,,
,0.04486099966515511,350,,,,
7,,399,,,0.9748809337615967,0.567981481552124
7,,399,0.9931746125221252,0.5375795960426331,,
,0.04486099966515511,400,,,,
8,,449,,,0.9741666913032532,0.5720267295837402
8,,449,0.9941666722297668,0.5315184593200684,,
,0.04486099966515511,450,,,,
9,,499,,,0.9740476012229919,0.5678016543388367
9,,499,0.9969047904014587,0.5257003903388977,,
,0.04486099966515511,500,,,,
10,,549,,,0.9770237803459167,0.5628030896186829
10,,549,0.9973412752151489,0.5214229226112366,,
,0.04486099966515511,550,,,,
11,,599,,,0.9759523868560791,0.5653770565986633
11,,599,0.9983730316162109,0.518979012966156,,
,0.04486099966515511,600,,,,
12,,649,,,0.9736904501914978,0.571023166179657
12,,649,0.9981349110603333,0.5181726217269897,,
,0.04486099966515511,650,,,,
13,,699,,,0.9758333563804626,0.5646246671676636
13,,699,0.9981349110603333,0.5186757445335388,,
,0.04486099966515511,700,,,,
14,,749,,,0.9752380847930908,0.5672873854637146
14,,749,0.9981349110603333,0.5173803567886353,,
,0.04486099966515511,750,,,,
15,,799,,,0.973809540271759,0.5720008611679077
15,,799,0.9972618818283081,0.5216416120529175,,
