epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,98,,,0.8989285826683044,0.36195433139801025
0,,98,0.8191269636154175,0.7879599928855896,,
,0.001,99,,,,
1,,197,,,0.9159523844718933,0.29243072867393494
1,,197,0.9090079069137573,0.3176025450229645,,
,0.001,198,,,,
2,,296,,,0.9269047379493713,0.2541744112968445
2,,296,0.928174614906311,0.2586655616760254,,
,0.001,297,,,,
3,,395,,,0.9316666722297668,0.23465029895305634
3,,395,0.9381349086761475,0.22002264857292175,,
,0.001,396,,,,
4,,494,,,0.9419047832489014,0.20572039484977722
4,,494,0.9462301731109619,0.1909811943769455,,
,0.001,495,,,,
5,,593,,,0.9476190209388733,0.1876154989004135
5,,593,0.9526190757751465,0.16516686975955963,,
,0.001,594,,,,
6,,692,,,0.9501190185546875,0.17363892495632172
6,,692,0.9592857360839844,0.14587338268756866,,
,0.001,693,,,,
7,,791,,,0.9526190757751465,0.16732390224933624
7,,791,0.96317458152771,0.1298586130142212,,
,0.001,792,,,,
8,,890,,,0.9534524083137512,0.1573181003332138
8,,890,0.9669444561004639,0.11505831032991409,,
,0.001,891,,,,
9,,989,,,0.9572619199752808,0.14843933284282684
9,,989,0.9707539677619934,0.10463902354240417,,
,0.001,990,,,,
10,,1088,,,0.9602380990982056,0.1399938315153122
10,,1088,0.9739285707473755,0.09364113211631775,,
,0.001,1089,,,,
11,,1187,,,0.9590476155281067,0.1375497281551361
11,,1187,0.9770634770393372,0.08493081480264664,,
,0.001,1188,,,,
12,,1286,,,0.9604762196540833,0.13559295237064362
12,,1286,0.9794444441795349,0.07611049711704254,,
,0.001,1287,,,,
13,,1385,,,0.9605952501296997,0.13347120583057404
13,,1385,0.9823015928268433,0.06965844333171844,,
,0.001,1386,,,,
14,,1484,,,0.9628571271896362,0.1260834038257599
14,,1484,0.983214259147644,0.06292124092578888,,
,0.001,1485,,,,
15,,1583,,,0.9645237922668457,0.1242087110877037
15,,1583,0.9865079522132874,0.05688515678048134,,
,0.001,1584,,,,
16,,1682,,,0.9632142782211304,0.12234533578157425
16,,1682,0.9869047403335571,0.0528460256755352,,
,0.001,1683,,,,
17,,1781,,,0.9641666412353516,0.12015487253665924
17,,1781,0.9886507987976074,0.046825211495161057,,
,0.001,1782,,,,
18,,1880,,,0.9648809432983398,0.11836657673120499
18,,1880,0.9897222518920898,0.04308034107089043,,
,0.001,1881,,,,
19,,1979,,,0.9635714292526245,0.12057828158140182
19,,1979,0.9917857050895691,0.03903163969516754,,
,0.001,1980,,,,
20,,2078,,,0.9640476107597351,0.12251653522253036
20,,2078,0.9919047355651855,0.03548463061451912,,
,0.001,2079,,,,
21,,2177,,,0.9657142758369446,0.11595433950424194
21,,2177,0.9933730363845825,0.0323571115732193,,
,0.001,2178,,,,
22,,2276,,,0.9653571248054504,0.11698233336210251
22,,2276,0.9945635199546814,0.029153810814023018,,
,0.001,2277,,,,
23,,2375,,,0.9634523987770081,0.11978483200073242
23,,2375,0.9952380657196045,0.026514047756791115,,
,0.001,2376,,,,
24,,2474,,,0.965238094329834,0.11763954162597656
24,,2474,0.9955158829689026,0.0245421901345253,,
,0.001,2475,,,,
25,,2573,,,0.9648809432983398,0.11739743500947952
25,,2573,0.9964285492897034,0.021621782332658768,,
,0.001,2574,,,,
26,,2672,,,0.9655952453613281,0.1197274699807167
26,,2672,0.9976190328598022,0.0199297983199358,,
