epoch,lr-Adam,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,787,,,0.9328571557998657,0.23098166286945343
0,,787,0.8909920454025269,0.40842363238334656,,
,0.001,788,,,,
1,,1575,,,0.9434523582458496,0.18626250326633453
1,,1575,0.9454761743545532,0.188291996717453,,
,0.001,1576,,,,
2,,2363,,,0.9579761624336243,0.14795233309268951
2,,2363,0.9615476131439209,0.1320333331823349,,
,0.001,2364,,,,
3,,3151,,,0.9584524035453796,0.1335539072751999
3,,3151,0.9728968143463135,0.09815756976604462,,
,0.001,3152,,,,
4,,3939,,,0.960357129573822,0.12488663196563721
4,,3939,0.9779762029647827,0.07559403032064438,,
,0.001,3940,,,,
5,,4727,,,0.9638095498085022,0.1207403615117073
5,,4727,0.983134925365448,0.059538789093494415,,
,0.001,4728,,,,
6,,5515,,,0.9648809432983398,0.11646124720573425
6,,5515,0.9863888621330261,0.04689394682645798,,
,0.001,5516,,,,
7,,6303,,,0.9660714268684387,0.11793619394302368
7,,6303,0.9901190400123596,0.036546021699905396,,
,0.001,6304,,,,
8,,7091,,,0.9664285778999329,0.11159258335828781
8,,7091,0.9913889169692993,0.030394362285733223,,
,0.001,7092,,,,
9,,7879,,,0.9692857265472412,0.1152956634759903
9,,7879,0.9934126734733582,0.02360665611922741,,
,0.001,7880,,,,
10,,8667,,,0.9694047570228577,0.11177456378936768
10,,8667,0.9954364895820618,0.01856629177927971,,
,0.001,8668,,,,
