epoch,lr-SGD,step,train_acc,train_loss,val_acc,val_loss
,0.04486099966515511,0,,,,
0,,49,,,0.9451190233230591,0.6728515028953552
0,,49,0.8544841408729553,0.9296267628669739,,
,0.04486099966515511,50,,,,
1,,99,,,0.9596428275108337,0.6245410442352295
1,,99,0.9607142806053162,0.647210955619812,,
,0.04486099966515511,100,,,,
2,,149,,,0.9660714268684387,0.6066932678222656
2,,149,0.9736111164093018,0.6072813868522644,,
,0.04486099966515511,150,,,,
3,,199,,,0.970119059085846,0.5952383875846863
3,,199,0.9806746244430542,0.5899460911750793,,
,0.04486099966515511,200,,,,
4,,249,,,0.972261905670166,0.5952990651130676
4,,249,0.9854364991188049,0.5766844153404236,,
,0.04486099966515511,250,,,,
5,,299,,,0.9753571152687073,0.586030900478363
5,,299,0.988611102104187,0.5678998827934265,,
,0.04486099966515511,300,,,,
6,,349,,,0.9752380847930908,0.5829833745956421
6,,349,0.9918650984764099,0.5591179728507996,,
,0.04486099966515511,350,,,,
7,,399,,,0.9759523868560791,0.580771803855896
7,,399,0.9931746125221252,0.5541950464248657,,
,0.04486099966515511,400,,,,
8,,449,,,0.9770237803459167,0.5777943730354309
8,,449,0.9938095211982727,0.5513620972633362,,
,0.04486099966515511,450,,,,
9,,499,,,0.9767857193946838,0.5773633122444153
9,,499,0.9952777624130249,0.5462733507156372,,
,0.04486099966515511,500,,,,
10,,549,,,0.9764285683631897,0.57635498046875
10,,549,0.9965476393699646,0.5435035824775696,,
,0.04486099966515511,550,,,,
11,,599,,,0.9772619009017944,0.5737704038619995
11,,599,0.9970635175704956,0.5400583744049072,,
,0.04486099966515511,600,,,,
12,,649,,,0.9770237803459167,0.5740431547164917
12,,649,0.9973412752151489,0.5383213758468628,,
,0.04486099966515511,650,,,,
13,,699,,,0.9791666865348816,0.571122944355011
13,,699,0.9980158805847168,0.5365127325057983,,
,0.04486099966515511,700,,,,
14,,749,,,0.9785714149475098,0.5706523060798645
14,,749,0.9983333349227905,0.5349771976470947,,
,0.04486099966515511,750,,,,
15,,799,,,0.9776190519332886,0.5713725686073303
15,,799,0.9983333349227905,0.5329249501228333,,
,0.04486099966515511,800,,,,
16,,849,,,0.9773809313774109,0.5701761841773987
16,,849,0.9981349110603333,0.5327324271202087,,
,0.04486099966515511,850,,,,
17,,899,,,0.9785714149475098,0.5696860551834106
17,,899,0.9986110925674438,0.5310189723968506,,
,0.04486099966515511,900,,,,
18,,949,,,0.9784523844718933,0.5689361095428467
18,,949,0.9989285469055176,0.5301144123077393,,
,0.04486099966515511,950,,,,
19,,999,,,0.9789285659790039,0.5683966279029846
19,,999,0.9991269707679749,0.5280495285987854,,
,0.04486099966515511,1000,,,,
20,,1049,,,0.9788095355033875,0.5671485066413879
20,,1049,0.9995238184928894,0.5276630520820618,,
,0.04486099966515511,1050,,,,
21,,1099,,,0.9785714149475098,0.5670952796936035
21,,1099,0.999404788017273,0.5263098478317261,,
,0.04486099966515511,1100,,,,
22,,1149,,,0.9775000214576721,0.5668563842773438
22,,1149,0.9993650913238525,0.5260364413261414,,
,0.04486099966515511,1150,,,,
23,,1199,,,0.9780952334403992,0.5676301121711731
23,,1199,0.9996031522750854,0.5257278084754944,,
,0.04486099966515511,1200,,,,
24,,1249,,,0.9782142639160156,0.5662082433700562
24,,1249,0.9996825456619263,0.5252109169960022,,
,0.04486099966515511,1250,,,,
25,,1299,,,0.9776190519332886,0.5658491849899292
25,,1299,0.9996031522750854,0.5248346924781799,,
,0.04486099966515511,1300,,,,
26,,1349,,,0.9782142639160156,0.5649062991142273
26,,1349,0.9998412728309631,0.5226335525512695,,
,0.04486099966515511,1350,,,,
27,,1399,,,0.9788095355033875,0.5647144913673401
27,,1399,0.999404788017273,0.5231400728225708,,
,0.04486099966515511,1400,,,,
28,,1449,,,0.978690505027771,0.5652695894241333
28,,1449,0.9996825456619263,0.5221863985061646,,
,0.04486099966515511,1450,,,,
29,,1499,,,0.978690505027771,0.5644531846046448
29,,1499,0.9997222423553467,0.5224115252494812,,
,0.04486099966515511,1500,,,,
30,,1549,,,0.9789285659790039,0.565040647983551
30,,1549,0.9997618794441223,0.521679162979126,,
,0.04486099966515511,1550,,,,
31,,1599,,,0.9800000190734863,0.564382791519165
31,,1599,0.9999206066131592,0.5215227007865906,,
,0.04486099966515511,1600,,,,
32,,1649,,,0.9790475964546204,0.5635577440261841
32,,1649,0.9997618794441223,0.5208881497383118,,
,0.04486099966515511,1650,,,,
33,,1699,,,0.9783333539962769,0.5629870891571045
33,,1699,0.9998412728309631,0.5200291275978088,,
,0.04486099966515511,1700,,,,
34,,1749,,,0.9790475964546204,0.5640127062797546
34,,1749,0.9998412728309631,0.5199025273323059,,
,0.04486099966515511,1750,,,,
35,,1799,,,0.979285717010498,0.5630842447280884
35,,1799,0.9998412728309631,0.5195555090904236,,
,0.04486099966515511,1800,,,,
36,,1849,,,0.9789285659790039,0.5631138682365417
36,,1849,0.9997222423553467,0.5190944671630859,,
,0.04486099966515511,1850,,,,
37,,1899,,,0.9788095355033875,0.5629993677139282
37,,1899,0.9999206066131592,0.5191268920898438,,
,0.04486099966515511,1900,,,,
38,,1949,,,0.9789285659790039,0.5630747079849243
38,,1949,0.9998809695243835,0.519086480140686,,
,0.04486099966515511,1950,,,,
39,,1999,,,0.9794047474861145,0.562766969203949
39,,1999,0.9998809695243835,0.5187702178955078,,
,0.04486099966515511,2000,,,,
40,,2049,,,0.9796428680419922,0.5614792108535767
40,,2049,0.9998412728309631,0.5183237791061401,,
,0.04486099966515511,2050,,,,
41,,2099,,,0.9790475964546204,0.5626457929611206
41,,2099,0.9999603033065796,0.5177640318870544,,
,0.04486099966515511,2100,,,,
42,,2149,,,0.9785714149475098,0.5635176301002502
42,,2149,0.9999603033065796,0.5181990265846252,,
,0.04486099966515511,2150,,,,
43,,2199,,,0.9785714149475098,0.5627182126045227
43,,2199,0.9998809695243835,0.5174062252044678,,
,0.04486099966515511,2200,,,,
44,,2249,,,0.9791666865348816,0.5626459717750549
44,,2249,0.9999206066131592,0.5174973011016846,,
,0.04486099966515511,2250,,,,
45,,2299,,,0.9784523844718933,0.5619208216667175
45,,2299,0.9998412728309631,0.5173106789588928,,
,0.04486099966515511,2300,,,,
46,,2349,,,0.9789285659790039,0.5616611242294312
46,,2349,0.9999206066131592,0.5167245864868164,,
,0.04486099966515511,2350,,,,
47,,2399,,,0.9789285659790039,0.5620959997177124
47,,2399,0.9998412728309631,0.5169097781181335,,
,0.04486099966515511,2400,,,,
48,,2449,,,0.9789285659790039,0.5616167783737183
48,,2449,1.0,0.5164238214492798,,
,0.04486099966515511,2450,,,,
49,,2499,,,0.9790475964546204,0.5614426732063293
49,,2499,0.9999206066131592,0.5165550112724304,,
