epoch,lr-Adam,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,98,,,0.9399999976158142,0.19181428849697113
0,,98,0.8286507725715637,0.584919810295105,,
,0.001,99,,,,
1,,197,,,0.9685714244842529,0.10565114766359329
1,,197,0.9570634961128235,0.1417706310749054,,
,0.001,198,,,,
2,,296,,,0.9788095355033875,0.07225963473320007
2,,296,0.9758333563804626,0.08361303061246872,,
,0.001,297,,,,
3,,395,,,0.9784523844718933,0.06762413680553436
3,,395,0.9824206233024597,0.05931622162461281,,
,0.001,396,,,,
4,,494,,,0.9791666865348816,0.06725437939167023
4,,494,0.9852380752563477,0.04810328036546707,,
,0.001,495,,,,
5,,593,,,0.9840475916862488,0.054445844143629074
5,,593,0.9873412847518921,0.04104539752006531,,
,0.001,594,,,,
6,,692,,,0.9852380752563477,0.05406112223863602
6,,692,0.9900000095367432,0.03337628394365311,,
,0.001,693,,,,
7,,791,,,0.9855952262878418,0.04726380854845047
7,,791,0.9913095235824585,0.028406644240021706,,
,0.001,792,,,,
8,,890,,,0.9860714077949524,0.047420188784599304
8,,890,0.9921031594276428,0.024863645434379578,,
,0.001,891,,,,
9,,989,,,0.9839285612106323,0.05565328896045685
9,,989,0.9939682483673096,0.019660400226712227,,
,0.001,990,,,,
10,,1088,,,0.9823809266090393,0.05994357168674469
10,,1088,0.9936507940292358,0.019260909408330917,,
,0.001,1089,,,,
11,,1187,,,0.9855952262878418,0.05119524896144867
11,,1187,0.995039701461792,0.01633009873330593,,
,0.001,1188,,,,
12,,1286,,,0.9846428632736206,0.054659441113471985
12,,1286,0.9957143068313599,0.014199956320226192,,
,0.001,1287,,,,
13,,1385,,,0.9869047403335571,0.049255531281232834
13,,1385,0.9974603056907654,0.009435167536139488,,
,0.001,1386,,,,
14,,1484,,,0.982619047164917,0.07294544577598572
14,,1484,0.9975000023841858,0.008801055140793324,,
,0.001,1485,,,,
15,,1583,,,0.9857142567634583,0.05296924710273743
15,,1583,0.9973809719085693,0.008259756490588188,,
,0.001,1584,,,,
16,,1682,,,0.9848809242248535,0.058708883821964264
16,,1682,0.9973015785217285,0.008402664214372635,,
,0.001,1683,,,,
17,,1781,,,0.9852380752563477,0.05834388732910156
17,,1781,0.9977381229400635,0.007519963663071394,,
,0.001,1782,,,,
18,,1880,,,0.9829761981964111,0.06873373687267303
18,,1880,0.9982143044471741,0.0066163865849375725,,
