epoch,lr-SGD,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0.05306371575220848,0,,,,,,
0,,196,,,,,0.9859523773193359,0.5703487992286682
0,,196,,,0.9654365181922913,0.6439440250396729,,
,0.05306371575220848,197,,,,,,
1,,393,,,,,0.9855952262878418,0.5615780353546143
1,,393,,,0.9911110997200012,0.5604528784751892,,
,0.05306371575220848,394,,,,,,
2,,590,,,,,0.9867857098579407,0.5559008717536926
2,,590,,,0.9949603080749512,0.546669602394104,,
,0.05306371575220848,591,,,,,,
3,,787,,,,,0.9897618889808655,0.5432978868484497
3,,787,,,0.9973412752151489,0.5384781360626221,,
,0.05306371575220848,788,,,,,,
4,,984,,,,,0.9900000095367432,0.5400521755218506
4,,984,,,0.9976984262466431,0.5344177484512329,,
,0.05306371575220848,985,,,,,,
5,,1181,,,,,0.9904761910438538,0.5384335517883301
5,,1181,,,0.9987301826477051,0.5297479033470154,,
,0.05306371575220848,1182,,,,,,
6,,1378,,,,,0.9926190376281738,0.5361973643302917
6,,1378,,,0.9994444251060486,0.5272911787033081,,
,0.05306371575220848,1379,,,,,,
7,,1575,,,,,0.991190493106842,0.5376890897750854
7,,1575,,,0.9997222423553467,0.5245428085327148,,
,0.05306371575220848,1576,,,,,,
8,,1772,,,,,0.991190493106842,0.5351492762565613
8,,1772,,,0.9996428489685059,0.5228188633918762,,
,0.05306371575220848,1773,,,,,,
9,,1969,,,,,0.9926190376281738,0.5345776081085205
9,,1969,,,0.9998412728309631,0.5215975046157837,,
,0.05306371575220848,1970,,,,,,
10,,2166,,,,,0.9921428561210632,0.5355438590049744
10,,2166,,,0.9998015761375427,0.5205417275428772,,
,0.05306371575220848,2167,,,,,,
11,,2363,,,,,0.9920238256454468,0.5337768793106079
11,,2363,,,0.9999206066131592,0.5195287466049194,,
,0.05306371575220848,2364,,,,,,
12,,2560,,,,,0.9920238256454468,0.5326992273330688
12,,2560,,,0.9999206066131592,0.5186706185340881,,
,0.05306371575220848,2561,,,,,,
13,,2757,,,,,0.992976188659668,0.5326179265975952
13,,2757,,,0.9999603033065796,0.5180051922798157,,
,0.05306371575220848,2758,,,,,,
14,,2954,,,,,0.9920238256454468,0.5328812003135681
14,,2954,,,0.9999603033065796,0.5176700353622437,,
,0.05306371575220848,2955,,,,,,
15,,3151,,,,,0.9925000071525574,0.5316590666770935
15,,3151,,,0.9999603033065796,0.5171850323677063,,
,0.05306371575220848,3152,,,,,,
16,,3348,,,,,0.992976188659668,0.5311794877052307
16,,3348,,,0.9999603033065796,0.5168346166610718,,
,0.05306371575220848,3349,,,,,,
17,,3545,,,,,0.9916666746139526,0.532284140586853
17,,3545,,,0.9999603033065796,0.5162950158119202,,
,0.05306371575220848,3546,,,,,,
18,,3742,,,,,0.9930952191352844,0.530512809753418
18,,3742,,,0.9999603033065796,0.5160293579101562,,
,0.05306371575220848,3743,,,,,,
19,,3939,,,,,0.9930952191352844,0.5317379236221313
19,,3939,,,0.9999603033065796,0.5152813792228699,,
,0.05306371575220848,3940,,,,,,
20,,4136,,,,,0.992976188659668,0.5315532088279724
20,,4136,,,0.9999603033065796,0.5149785876274109,,
,0.05306371575220848,4137,,,,,,
21,,4333,,,,,0.9928571581840515,0.5307831168174744
21,,4333,,,0.9999603033065796,0.5150482654571533,,
,0.05306371575220848,4334,,,,,,
22,,4530,,,,,0.9927380681037903,0.5309597849845886
22,,4530,,,1.0,0.5148577690124512,,
,0.05306371575220848,4531,,,,,,
23,,4727,,,,,0.9926190376281738,0.5305405259132385
23,,4727,,,0.9999603033065796,0.5147797465324402,,
24,,4728,0.9942857027053833,0.5276246070861816,,,,
