epoch,lr-Adam,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,98,,,0.9365476369857788,0.21437014639377594
0,,98,0.8201984167098999,0.6229127645492554,,
,0.001,99,,,,
1,,197,,,0.9626190662384033,0.11663767695426941
1,,197,0.9550793766975403,0.15387491881847382,,
,0.001,198,,,,
2,,296,,,0.9730952382087708,0.0889735221862793
2,,296,0.9716269969940186,0.09410808980464935,,
,0.001,297,,,,
3,,395,,,0.9772619009017944,0.07020415365695953
3,,395,0.9793254137039185,0.06774504482746124,,
,0.001,396,,,,
4,,494,,,0.9809523820877075,0.06784878671169281
4,,494,0.9836111068725586,0.05434911325573921,,
,0.001,495,,,,
5,,593,,,0.9808333516120911,0.0641106516122818
5,,593,0.9855158925056458,0.04720330610871315,,
,0.001,594,,,,
6,,692,,,0.9833333492279053,0.055565252900123596
6,,692,0.9874206185340881,0.03925878554582596,,
,0.001,693,,,,
7,,791,,,0.9817857146263123,0.05831303820014
7,,791,0.9909920692443848,0.02996819093823433,,
,0.001,792,,,,
8,,890,,,0.9839285612106323,0.05479186028242111
8,,890,0.9915476441383362,0.02715405263006687,,
,0.001,891,,,,
9,,989,,,0.9836905002593994,0.05672566220164299
9,,989,0.9925397038459778,0.023112056776881218,,
,0.001,990,,,,
10,,1088,,,0.98416668176651,0.0581379160284996
10,,1088,0.9936110973358154,0.020665183663368225,,
,0.001,1089,,,,
11,,1187,,,0.983214259147644,0.05756999924778938
11,,1187,0.9945635199546814,0.017550591379404068,,
,0.001,1188,,,,
12,,1286,,,0.9842857122421265,0.05821492522954941
12,,1286,0.9955158829689026,0.014981379732489586,,
,0.001,1287,,,,
13,,1385,,,0.9836905002593994,0.06067473813891411
13,,1385,0.9968650937080383,0.011996407993137836,,
