epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.04486099966515511,0,,,,
0,,49,,,0.9421428442001343,0.6739731431007385
0,,49,0.858134925365448,0.8851605653762817,,
,0.04486099966515511,50,,,,
1,,99,,,0.9585714340209961,0.624394416809082
1,,99,0.9520635008811951,0.6554698944091797,,
,0.04486099966515511,100,,,,
2,,149,,,0.965833306312561,0.6034767031669617
2,,149,0.9698412418365479,0.6028188467025757,,
,0.04486099966515511,150,,,,
3,,199,,,0.9719047546386719,0.5820814371109009
3,,199,0.9784523844718933,0.5808370113372803,,
,0.04486099966515511,200,,,,
4,,249,,,0.9720237851142883,0.5811442136764526
4,,249,0.9850000143051147,0.5610483884811401,,
,0.04486099966515511,250,,,,
5,,299,,,0.9715476036071777,0.5755562782287598
5,,299,0.9894841313362122,0.5492170453071594,,
,0.04486099966515511,300,,,,
6,,349,,,0.9733333587646484,0.5732170343399048
6,,349,0.9918650984764099,0.5423114895820618,,
,0.04486099966515511,350,,,,
7,,399,,,0.9739285707473755,0.5731054544448853
7,,399,0.9938492178916931,0.5358731150627136,,
,0.04486099966515511,400,,,,
8,,449,,,0.9753571152687073,0.5696403980255127
8,,449,0.995555579662323,0.5297904014587402,,
,0.04486099966515511,450,,,,
9,,499,,,0.9750000238418579,0.5672219395637512
9,,499,0.9971825480461121,0.5227490663528442,,
,0.04486099966515511,500,,,,
10,,549,,,0.9742857217788696,0.5698084831237793
10,,549,0.9970238208770752,0.522236168384552,,
,0.04486099966515511,550,,,,
11,,599,,,0.970119059085846,0.5771174430847168
11,,599,0.9960317611694336,0.5254353284835815,,
,0.04486099966515511,600,,,,
12,,649,,,0.9742857217788696,0.5691187977790833
12,,649,0.9978571534156799,0.521020770072937,,
,0.04486099966515511,650,,,,
13,,699,,,0.9766666889190674,0.5659456253051758
13,,699,0.9973015785217285,0.5210960507392883,,
,0.04486099966515511,700,,,,
14,,749,,,0.9733333587646484,0.5734829306602478
14,,749,0.9969444274902344,0.5214154124259949,,
,0.04486099966515511,750,,,,
15,,799,,,0.9728571176528931,0.570689857006073
15,,799,0.9976190328598022,0.5205532908439636,,
,0.04486099966515511,800,,,,
16,,849,,,0.9758333563804626,0.5668582320213318
16,,849,0.9974603056907654,0.5197951197624207,,
,0.04486099966515511,850,,,,
17,,899,,,0.975595235824585,0.566299557685852
17,,899,0.9980158805847168,0.517500102519989,,
,0.04486099966515511,900,,,,
18,,949,,,0.9751190543174744,0.5670523047447205
18,,949,0.9992856979370117,0.5142777562141418,,
