epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.00016686784775895715,0,,,,
0,,196,,,0.9513095021247864,0.6592527627944946
0,,196,0.8807936310768127,0.8826777338981628,,
,0.00016686784775895715,197,,,,
1,,393,,,0.963690459728241,0.6228611469268799
1,,393,0.9557539820671082,0.6612213253974915,,
,0.00016686784775895715,394,,,,
2,,590,,,0.9684523940086365,0.6063470840454102
2,,590,0.9708333611488342,0.6216410398483276,,
,0.00016686784775895715,591,,,,
3,,787,,,0.9694047570228577,0.6000182628631592
3,,787,0.9794444441795349,0.599602222442627,,
,0.00016686784775895715,788,,,,
4,,984,,,0.9727380871772766,0.5945872664451599
4,,984,0.9819841384887695,0.588656485080719,,
,0.00016686784775895715,985,,,,
5,,1181,,,0.9741666913032532,0.5865392684936523
5,,1181,0.9873412847518921,0.5753132104873657,,
,0.00016686784775895715,1182,,,,
6,,1378,,,0.9745237827301025,0.5860487818717957
6,,1378,0.9902777671813965,0.5661273002624512,,
,0.00016686784775895715,1379,,,,
7,,1575,,,0.9766666889190674,0.5825445652008057
7,,1575,0.9909523725509644,0.5612766146659851,,
,0.00016686784775895715,1576,,,,
8,,1772,,,0.975595235824585,0.5833173990249634
8,,1772,0.9933333396911621,0.5552740693092346,,
,0.00016686784775895715,1773,,,,
9,,1969,,,0.9775000214576721,0.5809765458106995
9,,1969,0.9943650960922241,0.5510126948356628,,
,0.00016686784775895715,1970,,,,
10,,2166,,,0.9773809313774109,0.5797499418258667
10,,2166,0.9952380657196045,0.5480393767356873,,
,0.00016686784775895715,2167,,,,
11,,2363,,,0.9766666889190674,0.5781433582305908
11,,2363,0.99615079164505,0.5450286865234375,,
,0.00016686784775895715,2364,,,,
12,,2560,,,0.9785714149475098,0.5765777826309204
12,,2560,0.99615079164505,0.5428071022033691,,
,0.00016686784775895715,2561,,,,
13,,2757,,,0.979285717010498,0.5722318291664124
13,,2757,0.9973809719085693,0.5389119982719421,,
,0.00016686784775895715,2758,,,,
14,,2954,,,0.9789285659790039,0.572711169719696
14,,2954,0.9977381229400635,0.5375840663909912,,
,0.00016686784775895715,2955,,,,
15,,3151,,,0.977738082408905,0.5732300877571106
15,,3151,0.9980158805847168,0.5360705256462097,,
,0.00016686784775895715,3152,,,,
16,,3348,,,0.9788095355033875,0.5730135440826416
16,,3348,0.9982143044471741,0.5343971848487854,,
,0.00016686784775895715,3349,,,,
17,,3545,,,0.9804762005805969,0.5695152878761292
17,,3545,0.9985317587852478,0.5327422618865967,,
,0.00016686784775895715,3546,,,,
18,,3742,,,0.9791666865348816,0.5704622864723206
18,,3742,0.998452365398407,0.5313247442245483,,
,0.00016686784775895715,3743,,,,
19,,3939,,,0.9795238375663757,0.568494975566864
19,,3939,0.9985317587852478,0.5299682021141052,,
,0.00016686784775895715,3940,,,,
20,,4136,,,0.9795238375663757,0.5681167840957642
20,,4136,0.9985714554786682,0.5291982293128967,,
,0.00016686784775895715,4137,,,,
21,,4333,,,0.9796428680419922,0.5662431120872498
21,,4333,0.9992063641548157,0.5278195738792419,,
,0.00016686784775895715,4334,,,,
22,,4530,,,0.9795238375663757,0.5677705407142639
22,,4530,0.9992063641548157,0.5271996259689331,,
