epoch,lr-Adam,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,98,,,0.9378571510314941,0.20235009491443634
0,,98,0.8250793814659119,0.594599723815918,,
,0.001,99,,,,
1,,197,,,0.963690459728241,0.113092802464962
1,,197,0.9540079236030579,0.15214195847511292,,
,0.001,198,,,,
2,,296,,,0.9726190567016602,0.08608993142843246
2,,296,0.9721031785011292,0.09120849519968033,,
,0.001,297,,,,
3,,395,,,0.9778571724891663,0.06667770445346832
3,,395,0.9808729887008667,0.06594502925872803,,
,0.001,396,,,,
4,,494,,,0.9805952310562134,0.06215876340866089
4,,494,0.9844047427177429,0.051123883575201035,,
,0.001,495,,,,
5,,593,,,0.9802380800247192,0.06191148981451988
5,,593,0.9866666793823242,0.0421539843082428,,
,0.001,594,,,,
6,,692,,,0.9821428656578064,0.05596720427274704
6,,692,0.9878174662590027,0.038646623492240906,,
,0.001,693,,,,
7,,791,,,0.982619047164917,0.05293158069252968
7,,791,0.9904761910438538,0.030159106478095055,,
,0.001,792,,,,
8,,890,,,0.9784523844718933,0.07135026901960373
8,,890,0.9923412799835205,0.02464958466589451,,
,0.001,891,,,,
9,,989,,,0.9839285612106323,0.05360317602753639
9,,989,0.9921428561210632,0.023172365501523018,,
,0.001,990,,,,
10,,1088,,,0.9847618937492371,0.05104754865169525
10,,1088,0.9943650960922241,0.017317872494459152,,
,0.001,1089,,,,
11,,1187,,,0.9829761981964111,0.06038184463977814
11,,1187,0.9946428537368774,0.017940480262041092,,
,0.001,1188,,,,
12,,1286,,,0.9845238327980042,0.0535602904856205
12,,1286,0.9962301850318909,0.013345991261303425,,
,0.001,1287,,,,
13,,1385,,,0.9845238327980042,0.051134321838617325
13,,1385,0.9959126710891724,0.012940945103764534,,
,0.001,1386,,,,
14,,1484,,,0.9854761958122253,0.051980018615722656
14,,1484,0.9968650937080383,0.010991853661835194,,
,0.001,1485,,,,
15,,1583,,,0.9850000143051147,0.051813654601573944
15,,1583,0.9977381229400635,0.007949085906147957,,
