epoch,lr-SGD,step,train_acc,train_loss,val_acc,val_loss
,0.05306371575220848,0,,,,
0,,196,,,0.9859523773193359,0.5735076665878296
0,,196,0.9651587009429932,0.6455095410346985,,
,0.05306371575220848,197,,,,
1,,393,,,0.9879761934280396,0.5556835532188416
1,,393,0.9913492202758789,0.5602544546127319,,
,0.05306371575220848,394,,,,
2,,590,,,0.9900000095367432,0.5448251962661743
2,,590,0.9950793385505676,0.5466747283935547,,
,0.05306371575220848,591,,,,
3,,787,,,0.9909523725509644,0.5468703508377075
3,,787,0.99615079164505,0.540474534034729,,
,0.05306371575220848,788,,,,
4,,984,,,0.9915476441383362,0.5415783524513245
4,,984,0.9976587295532227,0.5347788333892822,,
,0.05306371575220848,985,,,,
5,,1181,,,0.9916666746139526,0.5371957421302795
5,,1181,0.9987698197364807,0.5309799909591675,,
,0.05306371575220848,1182,,,,
6,,1378,,,0.9905952215194702,0.5414376854896545
6,,1378,0.9991269707679749,0.5280425548553467,,
,0.05306371575220848,1379,,,,
7,,1575,,,0.9917857050895691,0.5371829271316528
7,,1575,0.9993253946304321,0.5258455276489258,,
,0.05306371575220848,1576,,,,
8,,1772,,,0.9928571581840515,0.5345284938812256
8,,1772,0.9998412728309631,0.5232844948768616,,
,0.05306371575220848,1773,,,,
9,,1969,,,0.9921428561210632,0.5365269184112549
9,,1969,0.9996428489685059,0.5223382115364075,,
,0.05306371575220848,1970,,,,
10,,2166,,,0.9922618865966797,0.5365445613861084
10,,2166,0.9997222423553467,0.521553635597229,,
,0.05306371575220848,2167,,,,
11,,2363,,,0.993571400642395,0.5319998860359192
11,,2363,0.9998412728309631,0.5203505754470825,,
,0.05306371575220848,2364,,,,
12,,2560,,,0.9927380681037903,0.5337197780609131
12,,2560,0.9999603033065796,0.5193707942962646,,
,0.05306371575220848,2561,,,,
13,,2757,,,0.9923809766769409,0.5339950919151306
13,,2757,0.9998809695243835,0.5183169841766357,,
,0.05306371575220848,2758,,,,
14,,2954,,,0.9932143092155457,0.5318514108657837
14,,2954,0.9999603033065796,0.5179548859596252,,
,0.05306371575220848,2955,,,,
15,,3151,,,0.9926190376281738,0.5336117148399353
15,,3151,0.9999206066131592,0.517490804195404,,
,0.05306371575220848,3152,,,,
16,,3348,,,0.9917857050895691,0.5314282178878784
16,,3348,0.9999603033065796,0.5170746445655823,,
,0.05306371575220848,3349,,,,
17,,3545,,,0.992976188659668,0.5304923057556152
17,,3545,0.9999603033065796,0.5162912607192993,,
,0.05306371575220848,3546,,,,
18,,3742,,,0.9928571581840515,0.5340220928192139
18,,3742,0.9999206066131592,0.5163503885269165,,
,0.05306371575220848,3743,,,,
19,,3939,,,0.9925000071525574,0.5333065390586853
19,,3939,0.9999206066131592,0.516114354133606,,
,0.05306371575220848,3940,,,,
20,,4136,,,0.992976188659668,0.5313256978988647
20,,4136,0.9999603033065796,0.5155542492866516,,
,0.05306371575220848,4137,,,,
21,,4333,,,0.9928571581840515,0.530860960483551
21,,4333,0.9999603033065796,0.5150668621063232,,
,0.05306371575220848,4334,,,,
22,,4530,,,0.9925000071525574,0.5302923917770386
22,,4530,0.9999603033065796,0.5150681138038635,,
,0.05306371575220848,4531,,,,
23,,4727,,,0.9927380681037903,0.5304200649261475
23,,4727,0.9999603033065796,0.5150259733200073,,
,0.05306371575220848,4728,,,,
24,,4924,,,0.9936904907226562,0.5307871699333191
24,,4924,0.9999603033065796,0.5143048763275146,,
,0.05306371575220848,4925,,,,
25,,5121,,,0.9925000071525574,0.5314401984214783
25,,5121,1.0,0.51388019323349,,
,0.05306371575220848,5122,,,,
26,,5318,,,0.9928571581840515,0.5318183898925781
26,,5318,0.9999603033065796,0.5141507983207703,,
,0.05306371575220848,5319,,,,
27,,5515,,,0.9928571581840515,0.5308901071548462
27,,5515,0.9999603033065796,0.5136492848396301,,
