epoch,lr-Adam,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,98,,,0.9309523701667786,0.22438502311706543
0,,98,0.8219047784805298,0.6161071062088013,,
,0.001,99,,,,
1,,197,,,0.9639285802841187,0.11977328360080719
1,,197,0.9524999856948853,0.15779320895671844,,
,0.001,198,,,,
2,,296,,,0.9723809361457825,0.09114038199186325
2,,296,0.9706745743751526,0.09663272649049759,,
,0.001,297,,,,
3,,395,,,0.9775000214576721,0.07439973950386047
3,,395,0.9771825671195984,0.07458800077438354,,
,0.001,396,,,,
4,,494,,,0.9808333516120911,0.06582804024219513
4,,494,0.9834920763969421,0.0530870147049427,,
,0.001,495,,,,
5,,593,,,0.9804762005805969,0.0633058249950409
5,,593,0.9861111044883728,0.043855033814907074,,
,0.001,594,,,,
6,,692,,,0.9803571701049805,0.06390561163425446
6,,692,0.98801589012146,0.0375143326818943,,
,0.001,693,,,,
7,,791,,,0.9830952286720276,0.05782584473490715
7,,791,0.9896825551986694,0.03166302666068077,,
,0.001,792,,,,
8,,890,,,0.9835714101791382,0.05302903428673744
8,,890,0.9915079474449158,0.025712259113788605,,
,0.001,891,,,,
9,,989,,,0.9813095331192017,0.06880691647529602
9,,989,0.9931746125221252,0.02429504692554474,,
,0.001,990,,,,
10,,1088,,,0.9842857122421265,0.05238544940948486
10,,1088,0.9936110973358154,0.020610947161912918,,
,0.001,1089,,,,
11,,1187,,,0.9842857122421265,0.05061088502407074
11,,1187,0.9951984286308289,0.016478577628731728,,
,0.001,1188,,,,
12,,1286,,,0.9839285612106323,0.05965884402394295
12,,1286,0.9952777624130249,0.014487656764686108,,
,0.001,1287,,,,
13,,1385,,,0.9855952262878418,0.053606417030096054
13,,1385,0.9968253970146179,0.010944202542304993,,
,0.001,1386,,,,
14,,1484,,,0.9860714077949524,0.05864040553569794
14,,1484,0.9962698221206665,0.012422867119312286,,
,0.001,1485,,,,
15,,1583,,,0.9850000143051147,0.05780016630887985
15,,1583,0.9978174567222595,0.00883367657661438,,
,0.001,1584,,,,
16,,1682,,,0.9857142567634583,0.05796729773283005
16,,1682,0.9982539415359497,0.007212537806481123,,
,0.001,1683,,,,
17,,1781,,,0.9860714077949524,0.057795021682977676
17,,1781,0.9982143044471741,0.007063759490847588,,
,0.001,1782,,,,
18,,1880,,,0.9828571677207947,0.0693017914891243
18,,1880,0.9976190328598022,0.007544668857008219,,
,0.001,1881,,,,
19,,1979,,,0.9850000143051147,0.05856672674417496
19,,1979,0.9982936382293701,0.005864780396223068,,
