epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,196,,,,,0.9864285588264465,0.5644853115081787
0,196,,,0.96317458152771,0.6450848579406738,,
1,393,,,,,0.9888095259666443,0.5531699061393738
1,393,,,0.9909920692443848,0.5613848567008972,,
2,590,,,,,0.9901190400123596,0.5476287603378296
2,590,,,0.9941666722297668,0.5492219924926758,,
3,787,,,,,0.9863095283508301,0.5602536797523499
3,787,,,0.9964285492897034,0.5415754914283752,,
4,984,,,,,0.9922618865966797,0.5415761470794678
4,984,,,0.9979761838912964,0.535341203212738,,
5,1181,,,,,0.9917857050895691,0.539257287979126
5,1181,,,0.9988889098167419,0.5306788086891174,,
6,1378,,,,,0.9925000071525574,0.5363145470619202
6,1378,,,0.999404788017273,0.5283828973770142,,
7,1575,,,,,0.9925000071525574,0.5344442129135132
7,1575,,,0.9995238184928894,0.5258935689926147,,
8,1772,,,,,0.9915476441383362,0.5365390777587891
8,1772,,,0.9995238184928894,0.5245497226715088,,
9,1969,,,,,0.9915476441383362,0.5343564748764038
9,1969,,,0.9997222423553467,0.5225878357887268,,
10,2166,,,,,0.992976188659668,0.5333462953567505
10,2166,,,0.9997618794441223,0.5217302441596985,,
11,2363,,,,,0.9933333396911621,0.5351553559303284
11,2363,,,0.9998809695243835,0.5202187895774841,,
12,2560,,,,,0.9923809766769409,0.5343857407569885
12,2560,,,0.9997618794441223,0.5197659134864807,,
13,2757,,,,,0.9919047355651855,0.533176064491272
13,2757,,,0.9998412728309631,0.5190063714981079,,
14,2954,,,,,0.9932143092155457,0.5310010313987732
14,2954,,,0.9999206066131592,0.518511176109314,,
15,3151,,,,,0.9921428561210632,0.5307105183601379
15,3151,,,0.9999603033065796,0.5176333785057068,,
16,3348,,,,,0.992976188659668,0.5303797125816345
16,3348,,,0.9999206066131592,0.5170289874076843,,
17,3545,,,,,0.9928571581840515,0.5311763882637024
17,3545,,,0.9999603033065796,0.5169908404350281,,
18,3742,,,,,0.9925000071525574,0.5309872627258301
18,3742,,,0.9999206066131592,0.5162938237190247,,
19,3939,,,,,0.9917857050895691,0.5306676626205444
19,3939,,,0.9999603033065796,0.5159006714820862,,
20,4136,,,,,0.9933333396911621,0.5313976407051086
20,4136,,,0.9999603033065796,0.5156732201576233,,
21,4333,,,,,0.9925000071525574,0.5322847366333008
21,4333,,,0.9999603033065796,0.5153836011886597,,
22,4530,,,,,0.9926190376281738,0.5313017964363098
22,4530,,,0.9999603033065796,0.5151727199554443,,
23,4727,,,,,0.9927380681037903,0.531330406665802
23,4727,,,0.9999603033065796,0.5148597955703735,,
24,4924,,,,,0.9930952191352844,0.5304970145225525
24,4924,,,1.0,0.5145981907844543,,
25,5121,,,,,0.9930952191352844,0.5302276015281677
25,5121,,,1.0,0.5144864320755005,,
26,5318,,,,,0.9928571581840515,0.5305989980697632
26,5318,,,1.0,0.5139328241348267,,
27,5515,,,,,0.992976188659668,0.5306702256202698
27,5515,,,0.9999603033065796,0.513617753982544,,
28,5712,,,,,0.9927380681037903,0.5311949253082275
28,5712,,,1.0,0.5134916305541992,,
29,5909,,,,,0.9926190376281738,0.5300358533859253
29,5909,,,1.0,0.5133345723152161,,
30,6106,,,,,0.992976188659668,0.5309256911277771
30,6106,,,0.9999603033065796,0.5133026242256165,,
31,6303,,,,,0.9930952191352844,0.5303184986114502
31,6303,,,1.0,0.5127921104431152,,
32,6500,,,,,0.992976188659668,0.5312149524688721
32,6500,,,1.0,0.5130995512008667,,
33,6697,,,,,0.9921428561210632,0.5299953818321228
33,6697,,,1.0,0.5130517482757568,,
34,6894,,,,,0.9928571581840515,0.5303254127502441
34,6894,,,1.0,0.5127163529396057,,
35,7091,,,,,0.9925000071525574,0.5318776369094849
35,7091,,,1.0,0.5125473141670227,,
36,7288,,,,,0.9928571581840515,0.5296046733856201
36,7288,,,1.0,0.5127015709877014,,
37,7485,,,,,0.992976188659668,0.5304820537567139
37,7485,,,1.0,0.5124869346618652,,
38,7682,,,,,0.9928571581840515,0.530049741268158
38,7682,,,1.0,0.5124237537384033,,
39,7879,,,,,0.9928571581840515,0.5291961431503296
39,7879,,,1.0,0.5122338533401489,,
40,8076,,,,,0.9928571581840515,0.5303828120231628
40,8076,,,1.0,0.5121423006057739,,
41,8273,,,,,0.9922618865966797,0.529466986656189
41,8273,,,1.0,0.5120881199836731,,
42,8470,,,,,0.9934523701667786,0.528667151927948
42,8470,,,1.0,0.5120232105255127,,
43,8667,,,,,0.9928571581840515,0.5306290984153748
43,8667,,,1.0,0.5122300386428833,,
44,8864,,,,,0.9927380681037903,0.5296295881271362
44,8864,,,1.0,0.5120647549629211,,
45,9061,,,,,0.9925000071525574,0.529712438583374
45,9061,,,1.0,0.5118011832237244,,
46,9258,,,,,0.9922618865966797,0.5297483801841736
46,9258,,,1.0,0.5115175843238831,,
47,9455,,,,,0.9926190376281738,0.529589056968689
47,9455,,,1.0,0.5115487575531006,,
48,9652,,,,,0.992976188659668,0.5290012359619141
48,9652,,,1.0,0.5115259289741516,,
49,9849,,,,,0.9928571581840515,0.530473530292511
49,9849,,,1.0,0.5114926099777222,,
50,9850,,,,,0.9928571581840515,0.530473530292511
50,9850,0.9947618842124939,0.5279250144958496,,,,
