epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0.0005762168055965832,0,,,,,,
0,,196,,,,,0.9860714077949524,0.5701798796653748
0,,196,,,0.966269850730896,0.6529713273048401,,
,0.0005762168055965832,197,,,,,,
1,,393,,,,,0.9888095259666443,0.554477334022522
1,,393,,,0.9917857050895691,0.5553504228591919,,
,0.0005762168055965832,394,,,,,,
2,,590,,,,,0.9903571605682373,0.5468444228172302
2,,590,,,0.9955158829689026,0.5407636761665344,,
,0.0005762168055965832,591,,,,,,
3,,787,,,,,0.9905952215194702,0.5490884184837341
3,,787,,,0.9981349110603333,0.5319677591323853,,
,0.0005762168055965832,788,,,,,,
4,,984,,,,,0.9905952215194702,0.5463994145393372
4,,984,,,0.9991269707679749,0.5269522666931152,,
,0.0005762168055965832,985,,,,,,
5,,1181,,,,,0.9901190400123596,0.544139564037323
5,,1181,,,0.9996825456619263,0.5237829685211182,,
,0.0005762168055965832,1182,,,,,,
6,,1378,,,,,0.9921428561210632,0.5366160869598389
6,,1378,,,0.9996825456619263,0.5211117267608643,,
,0.0005762168055965832,1379,,,,,,
7,,1575,,,,,0.9928571581840515,0.5323499441146851
7,,1575,,,0.9999206066131592,0.5186288952827454,,
,0.0005762168055965832,1576,,,,,,
8,,1772,,,,,0.9932143092155457,0.5340942740440369
8,,1772,,,0.9999206066131592,0.5171054005622864,,
,0.0005762168055965832,1773,,,,,,
9,,1969,,,,,0.992976188659668,0.5324104428291321
9,,1969,,,0.9999603033065796,0.5165270566940308,,
,0.0005762168055965832,1970,,,,,,
10,,2166,,,,,0.9920238256454468,0.5374229550361633
10,,2166,,,0.9999603033065796,0.5157718062400818,,
,0.0005762168055965832,2167,,,,,,
11,,2363,,,,,0.9941666722297668,0.5301790237426758
11,,2363,,,0.9999603033065796,0.5149145722389221,,
,0.0005762168055965832,2364,,,,,,
12,,2560,,,,,0.9926190376281738,0.535938560962677
12,,2560,,,0.9999603033065796,0.5145344734191895,,
,0.0005762168055965832,2561,,,,,,
13,,2757,,,,,0.9934523701667786,0.5315549969673157
13,,2757,,,1.0,0.5137270092964172,,
,0.0005762168055965832,2758,,,,,,
14,,2954,,,,,0.9932143092155457,0.5322014689445496
14,,2954,,,0.9999603033065796,0.5137149095535278,,
,0.0005762168055965832,2955,,,,,,
15,,3151,,,,,0.9909523725509644,0.5411942005157471
15,,3151,,,1.0,0.5133472681045532,,
,0.0005762168055965832,3152,,,,,,
16,,3348,,,,,0.9934523701667786,0.5296198725700378
16,,3348,,,1.0,0.5128855109214783,,
17,,3349,0.9950000047683716,0.5274937152862549,,,,
