epoch,lr-Adam,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,787,,,0.9329761862754822,0.23133617639541626
0,,787,0.8909127116203308,0.4088165760040283,,
,0.001,788,,,,
1,,1575,,,0.9427381157875061,0.18704761564731598
1,,1575,0.9452381134033203,0.18811649084091187,,
,0.001,1576,,,,
2,,2363,,,0.9580952525138855,0.14671598374843597
2,,2363,0.961388885974884,0.13166721165180206,,
,0.001,2364,,,,
3,,3151,,,0.9591666460037231,0.13057446479797363
3,,3151,0.9726587533950806,0.0976962298154831,,
,0.001,3152,,,,
4,,3939,,,0.9608333110809326,0.12491422891616821
4,,3939,0.9775396585464478,0.07502108812332153,,
,0.001,3940,,,,
5,,4727,,,0.9641666412353516,0.11939217895269394
5,,4727,0.983134925365448,0.05935656279325485,,
,0.001,4728,,,,
6,,5515,,,0.9640476107597351,0.1172507032752037
6,,5515,0.9867857098579407,0.04620036855340004,,
,0.001,5516,,,,
7,,6303,,,0.9645237922668457,0.1217053234577179
7,,6303,0.9900000095367432,0.036236733198165894,,
,0.001,6304,,,,
8,,7091,,,0.9685714244842529,0.11138182133436203
8,,7091,0.9915476441383362,0.030096882954239845,,
,0.001,7092,,,,
9,,7879,,,0.9685714244842529,0.1160869300365448
9,,7879,0.993571400642395,0.023738084360957146,,
,0.001,7880,,,,
10,,8667,,,0.9690476059913635,0.11246489733457565
10,,8667,0.9952777624130249,0.01833430305123329,,
,0.001,8668,,,,
11,,9455,,,0.967380940914154,0.12151147425174713
11,,9455,0.9961110949516296,0.01566447876393795,,
