epoch,lr-Adam,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,98,,,0.9426190257072449,0.191600501537323
0,,98,0.8278571367263794,0.5926872491836548,,
,0.001,99,,,,
1,,197,,,0.9672619104385376,0.10865558683872223
1,,197,0.959246039390564,0.13745296001434326,,
,0.001,198,,,,
2,,296,,,0.9734523892402649,0.08635038882493973
2,,296,0.9737698435783386,0.08490447700023651,,
,0.001,297,,,,
3,,395,,,0.9775000214576721,0.07547002285718918
3,,395,0.9802777767181396,0.06501362472772598,,
,0.001,396,,,,
4,,494,,,0.9797618985176086,0.0632006973028183
4,,494,0.9839285612106323,0.05032087862491608,,
,0.001,495,,,,
5,,593,,,0.9821428656578064,0.0581778846681118
5,,593,0.9878968000411987,0.039998430758714676,,
,0.001,594,,,,
6,,692,,,0.9835714101791382,0.057686761021614075
6,,692,0.9894047379493713,0.03481246531009674,,
,0.001,693,,,,
7,,791,,,0.9835714101791382,0.05349826440215111
7,,791,0.9901190400123596,0.030605705454945564,,
,0.001,792,,,,
8,,890,,,0.9847618937492371,0.05617772787809372
8,,890,0.9919047355651855,0.025420935824513435,,
,0.001,891,,,,
9,,989,,,0.9798809289932251,0.0676853358745575
9,,989,0.9930555820465088,0.021750519052147865,,
,0.001,990,,,,
10,,1088,,,0.9839285612106323,0.05278020352125168
10,,1088,0.9941269755363464,0.019529208540916443,,
,0.001,1089,,,,
11,,1187,,,0.9853571653366089,0.04974718019366264
11,,1187,0.9948412775993347,0.01676858775317669,,
,0.001,1188,,,,
12,,1286,,,0.9857142567634583,0.05197949707508087
12,,1286,0.9963492155075073,0.012334931641817093,,
,0.001,1287,,,,
13,,1385,,,0.9825000166893005,0.07086518406867981
13,,1385,0.9967857003211975,0.010629283264279366,,
,0.001,1386,,,,
14,,1484,,,0.983214259147644,0.06180933490395546
14,,1484,0.9976190328598022,0.00928433146327734,,
,0.001,1485,,,,
15,,1583,,,0.9853571653366089,0.05492730438709259
15,,1583,0.9976190328598022,0.008562986738979816,,
,0.001,1584,,,,
16,,1682,,,0.9855952262878418,0.055998869240283966
16,,1682,0.9976587295532227,0.007733607664704323,,
