epoch,lr-SGD,step,train_acc,train_loss,val_acc,val_loss
,0.04486099966515511,0,,,,
0,,393,,,0.9621428847312927,0.6221731305122375
0,,393,0.9217857122421265,0.7335988879203796,,
,0.04486099966515511,394,,,,
1,,787,,,0.9733333587646484,0.5899979472160339
1,,787,0.9671825170516968,0.6157541871070862,,
,0.04486099966515511,788,,,,
2,,1181,,,0.9733333587646484,0.586947500705719
2,,1181,0.9788888692855835,0.5876310467720032,,
,0.04486099966515511,1182,,,,
3,,1575,,,0.9760714173316956,0.5778012275695801
3,,1575,0.9847221970558167,0.5716272592544556,,
,0.04486099966515511,1576,,,,
4,,1969,,,0.9785714149475098,0.5723274946212769
4,,1969,0.9889682531356812,0.5613052845001221,,
,0.04486099966515511,1970,,,,
5,,2363,,,0.979285717010498,0.5698651075363159
5,,2363,0.990912675857544,0.5540435910224915,,
,0.04486099966515511,2364,,,,
6,,2757,,,0.9757142663002014,0.572809100151062
6,,2757,0.9927380681037903,0.54978346824646,,
,0.04486099966515511,2758,,,,
7,,3151,,,0.9791666865348816,0.5635213255882263
7,,3151,0.994087278842926,0.5435171127319336,,
,0.04486099966515511,3152,,,,
8,,3545,,,0.9797618985176086,0.5631170868873596
8,,3545,0.9956746101379395,0.5389580726623535,,
,0.04486099966515511,3546,,,,
9,,3939,,,0.9804762005805969,0.5604612231254578
9,,3939,0.996071457862854,0.5366865396499634,,
,0.04486099966515511,3940,,,,
10,,4333,,,0.982619047164917,0.5591717958450317
10,,4333,0.9974603056907654,0.5340263247489929,,
,0.04486099966515511,4334,,,,
11,,4727,,,0.9801190495491028,0.5620595812797546
11,,4727,0.9968650937080383,0.5328494906425476,,
,0.04486099966515511,4728,,,,
12,,5121,,,0.9814285635948181,0.5581046342849731
12,,5121,0.9985317587852478,0.5294727683067322,,
,0.04486099966515511,5122,,,,
13,,5515,,,0.9819047451019287,0.5570940375328064
13,,5515,0.9982936382293701,0.5281260013580322,,
,0.04486099966515511,5516,,,,
14,,5909,,,0.982619047164917,0.5556132197380066
14,,5909,0.9986507892608643,0.5264695286750793,,
,0.04486099966515511,5910,,,,
15,,6303,,,0.9816666841506958,0.5557451844215393
15,,6303,0.9988492131233215,0.5248533487319946,,
,0.04486099966515511,6304,,,,
16,,6697,,,0.981071412563324,0.5565195679664612
16,,6697,0.9992460608482361,0.5234458446502686,,
,0.04486099966515511,6698,,,,
17,,7091,,,0.9820238351821899,0.5545677542686462
17,,7091,0.9985317587852478,0.523725688457489,,
,0.04486099966515511,7092,,,,
18,,7485,,,0.9827380776405334,0.5531901121139526
18,,7485,0.9990872740745544,0.5225760340690613,,
,0.04486099966515511,7486,,,,
19,,7879,,,0.9827380776405334,0.5530937910079956
